"Division","School","Bachelor's Degree","Master's Degree","Doctoral Degree"
"Fairfax County Public Schools","Bush Hill Elementary",33,67,0
"Fairfax County Public Schools","Camelot Elementary",47,49,2
"Fairfax County Public Schools","Cameron Elementary",26,74,0
"Fairfax County Public Schools","Canterbury Woods Elementary",23,75,2
"Fairfax County Public Schools","Cardinal Forest Elementary",28,72,0
"Fairfax County Public Schools","Carson Middle",21,78,0
"Fairfax County Public Schools","Centre Ridge Elementary",26,71,3
"Fairfax County Public Schools","Centreville Elementary",22,78,0
"Fairfax County Public Schools","Centreville High",19,77,3
"Fairfax County Public Schools","Chantilly High",19,78,3
"Fairfax County Public Schools","Cherry Run Elementary",16,81,2
"Fairfax County Public Schools","Chesterbrook Elementary",21,75,2
"Fairfax County Public Schools","Churchill Road Elementary",30,68,2
"Fairfax County Public Schools","Clearview Elementary",23,77,0
"Fairfax County Public Schools","Clermont Elementary",17,83,0
"Fairfax County Public Schools","Coates Elementary",22,76,0
"Fairfax County Public Schools","Columbia Elementary",30,67,2
"Fairfax County Public Schools","Colvin Run Elementary",28,70,2
"Fairfax County Public Schools","Cooper Middle",24,73,3
"Fairfax County Public Schools","Crestwood Elementary",27,72,0
"Fairfax County Public Schools","Crossfield Elementary",23,77,0
"Fairfax County Public Schools","Cub Run Elementary",24,76,0
"Fairfax County Public Schools","Cunningham Park Elementary",22,74,4
"Fairfax County Public Schools","Daniels Run Elementary",23,76,1
"Fairfax County Public Schools","Deer Park Elementary",15,83,2
"Fairfax County Public Schools","Dogwood Elementary",22,78,0
"Fairfax County Public Schools","Dranesville Elementary",33,67,0
"Fairfax County Public Schools","Eagle View Elementary",25,75,0
"Fairfax County Public Schools","Edison High",27,70,2
"Fairfax County Public Schools","Fairfax County Adult High",14,83,3
"Fairfax County Public Schools","Fairfax High",18,78,2
"Fairfax County Public Schools","Fairfax Villa Elementary",35,63,2
"Fairfax County Public Schools","Fairhill Elementary",26,74,0
"Fairfax County Public Schools","Fairview Elementary",38,61,0
"Fairfax County Public Schools","Falls Church High",19,76,4
"Fairfax County Public Schools","Flint Hill Elementary",35,65,0
"Fairfax County Public Schools","Floris Elementary",21,79,0
"Fairfax County Public Schools","Forest Edge Elementary",32,67,2
"Fairfax County Public Schools","Forestdale Elementary",36,64,0
"Fairfax County Public Schools","Forestville Elementary",28,72,0
"Fairfax County Public Schools","Fort Belvoir Elementary",32,67,0
"Fairfax County Public Schools","Fort Belvoir Upper Elementary",30,57,6
"Fairfax County Public Schools","Fort Hunt Elementary",36,64,0
"Fairfax County Public Schools","Fox Mill Elementary",38,63,0
"Fairfax County Public Schools","Franconia Elementary",30,70,0
"Fairfax County Public Schools","Franklin Middle",30,66,1
"Fairfax County Public Schools","Freedom Hill Elementary",21,75,4
"Fairfax County Public Schools","Frost Middle",17,82,1
"Fairfax County Public Schools","Garfield Elementary",13,88,0
"Fairfax County Public Schools","Glasgow Middle",27,72,1
"Fairfax County Public Schools","Glen Forest Elementary",27,73,0
"Fairfax County Public Schools","Graham Road Elementary",23,77,0
"Fairfax County Public Schools","Great Falls Elementary",26,68,0
"Fairfax County Public Schools","Greenbriar East Elementary",32,67,0
"Fairfax County Public Schools","Greenbriar West Elementary",33,65,0
"Fairfax County Public Schools","Groveton Elementary",32,64,4
"Fairfax County Public Schools","Gunston Elementary",28,70,0
"Fairfax County Public Schools","Halley Elementary",23,74,3
"Fairfax County Public Schools","Haycock Elementary",30,70,0
"Fairfax County Public Schools","Hayfield Elementary",20,80,0
"Fairfax County Public Schools","Hayfield Secondary",24,70,3
"Fairfax County Public Schools","Herndon Elementary",24,76,0
"Fairfax County Public Schools","Herndon High",23,75,2
"Fairfax County Public Schools","Herndon Middle",33,67,0
"Fairfax County Public Schools","Hollin Meadows Elementary",26,69,1
"Fairfax County Public Schools","Holmes Middle",29,70,1
"Fairfax County Public Schools","Hughes Middle",24,75,0
"Fairfax County Public Schools","Hunt Valley Elementary",25,73,0
"Fairfax County Public Schools","Hunters Woods Elementary School for the Arts and Sciences",21,75,4
"Fairfax County Public Schools","Hutchison Elementary",31,69,0
"Fairfax County Public Schools","Hybla Valley Elementary",33,66,1
"Fairfax County Public Schools","Irving Middle",35,63,2
