"Div.Name","Sch.Name","Subject","All Students","Asian","Black","Economically Disadvantaged","English Learners","Female","Hispanic","Male","Students with Disabilities","White"
"Wise County ","Union Middle","History and Social Sciences",83,NA,88,80,NA,80,NA,87,44,83
"Wise County ","Union Middle","Mathematics",89,NA,77,86,NA,90,67,88,62,90
"Wise County ","Union Middle","Science",85,NA,57,81,NA,82,67,88,63,86
"Wise County ","Union Primary School","English: Reading",90,NA,82,87,NA,92,NA,89,68,91
"Wise County ","Union Primary School","History and Social Sciences",96,NA,83,94,NA,95,NA,96,72,96
"Wise County ","Union Primary School","Mathematics",97,NA,100,96,NA,96,NA,97,82,97
"Wise County ","Union High","English: Reading",82,NA,60,74,NA,85,NA,77,39,83
"Wise County ","Union High","English: Writing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wise County ","Union High","History and Social Sciences",92,NA,91,88,NA,92,NA,91,66,92
"Wise County ","Union High","Mathematics",94,NA,89,91,NA,93,NA,95,81,94
"Wise County ","Union High","Science",87,NA,86,82,NA,86,NA,88,44,87
"Wise County ","Central High","English: Reading",86,NA,NA,79,NA,93,NA,81,56,86
"Wise County ","Central High","English: Writing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wise County ","Central High","History and Social Sciences",91,NA,NA,85,NA,92,NA,90,63,91
"Wise County ","Central High","Mathematics",95,NA,NA,91,NA,98,NA,92,83,95
"Wise County ","Central High","Science",94,NA,NA,89,NA,95,NA,93,81,94
"Westmoreland County ","Washington District Elementary","English: Reading",68,NA,61,62,43,70,48,67,59,76
"Westmoreland County ","Washington District Elementary","History and Social Sciences",67,NA,69,57,29,61,45,72,70,72
"Westmoreland County ","Washington District Elementary","Mathematics",83,NA,76,83,67,86,75,81,63,89
"Westmoreland County ","Washington District Elementary","Science",72,NA,69,65,33,69,45,77,67,81
"Westmoreland County ","Montross Middle","English: Reading",69,NA,58,66,25,74,72,66,46,76
"Westmoreland County ","Montross Middle","English: Writing",68,NA,61,63,NA,85,68,56,33,69
"Westmoreland County ","Montross Middle","History and Social Sciences",58,NA,45,52,50,57,61,60,47,71
"Westmoreland County ","Montross Middle","Mathematics",78,NA,69,76,83,83,86,74,59,81
"Westmoreland County ","Montross Middle","Science",67,NA,58,62,NA,70,63,65,33,76
"Westmoreland County ","Cople Elementary","English: Reading",72,NA,66,70,67,79,79,65,38,82
"Westmoreland County ","Cople Elementary","History and Social Sciences",65,NA,66,71,NA,64,60,67,33,73
"Westmoreland County ","Cople Elementary","Mathematics",77,NA,73,75,78,74,84,80,63,84
"Westmoreland County ","Cople Elementary","Science",86,NA,82,83,NA,77,88,100,NA,92
"Westmoreland County ","Washington & Lee High","English: Reading",75,NA,69,66,NA,83,64,68,54,87
"Westmoreland County ","Washington & Lee High","English: Writing",65,NA,54,57,NA,80,43,53,23,84
"Westmoreland County ","Washington & Lee High","History and Social Sciences",63,NA,57,62,NA,66,43,59,47,79
"Westmoreland County ","Washington & Lee High","Mathematics",85,NA,83,86,71,87,78,84,86,91
"Westmoreland County ","Washington & Lee High","Science",77,NA,71,73,20,79,74,75,55,87
"Washington County ","Watauga Elementary","English: Reading",94,91,NA,94,88,95,NA,93,64,95
"Washington County ","Watauga Elementary","History and Social Sciences",95,100,NA,95,NA,93,NA,98,63,95
"Washington County ","Watauga Elementary","Mathematics",98,100,NA,98,100,98,NA,98,84,97
"Washington County ","Watauga Elementary","Science",94,NA,NA,95,NA,94,NA,95,71,95
"Washington County ","Wallace Middle","English: Reading",84,NA,NA,84,NA,87,100,80,53,83
"Washington County ","Wallace Middle","English: Writing",65,NA,NA,65,NA,84,NA,39,20,65
"Washington County ","Wallace Middle","History and Social Sciences",83,NA,NA,83,NA,84,83,81,41,83
"Washington County ","Wallace Middle","Mathematics",90,NA,NA,90,NA,92,100,87,59,89
"Washington County ","Wallace Middle","Science",73,NA,NA,73,NA,78,NA,66,40,73
"Washington County ","Rhea Valley Elementary","English: Reading",83,NA,NA,84,NA,89,NA,79,58,83
"Washington County ","Rhea Valley Elementary","History and Social Sciences",95,NA,NA,95,NA,96,NA,95,91,95
"Washington County ","Rhea Valley Elementary","Mathematics",90,NA,NA,90,NA,91,NA,89,73,89
"Washington County ","Rhea Valley Elementary","Science",86,NA,NA,87,NA,83,NA,89,63,89
"Washington County ","Damascus Middle","English: Reading",87,NA,NA,87,NA,89,83,86,62,87
"Washington County ","Damascus Middle","English: Writing",63,NA,NA,63,NA,71,NA,56,7,61
"Washington County ","Damascus Middle","History and Social Sciences",88,NA,NA,88,NA,88,100,88,58,88
"Washington County ","Damascus Middle","Mathematics",91,NA,NA,91,NA,90,100,93,71,92
"Washington County ","Damascus Middle","Science",91,NA,NA,91,NA,94,NA,89,57,91
"Washington County ","Greendale Elementary","English: Reading",90,NA,NA,90,NA,94,100,85,76,90
"Washington County ","Greendale Elementary","History and Social Sciences",100,NA,NA,100,NA,100,NA,100,100,100
"Washington County ","Greendale Elementary","Mathematics",97,NA,NA,98,NA,99,100,96,93,98
"Washington County ","Greendale Elementary","Science",90,NA,NA,90,NA,91,NA,89,58,91
"Washington County ","Meadowview Elementary","English: Reading",83,NA,78,82,NA,84,83,81,61,83
"Washington County ","Meadowview Elementary","History and Social Sciences",81,NA,NA,81,NA,78,NA,83,56,81
"Washington County ","Meadowview Elementary","Mathematics",89,NA,67,89,NA,88,100,89,66,89
"Washington County ","Meadowview Elementary","Science",85,NA,40,85,NA,87,80,83,44,88
"Washington County ","E.B. Stanley Middle","English: Reading",84,85,56,84,40,86,65,83,58,86
"Washington County ","E.B. Stanley Middle","English: Writing",80,100,33,80,NA,86,NA,74,53,82
"Washington County ","E.B. Stanley Middle","History and Social Sciences",82,90,38,82,NA,81,69,83,58,83
"Washington County ","E.B. Stanley Middle","Mathematics",90,92,71,89,60,90,70,89,65,91
"Washington County ","E.B. Stanley Middle","Science",80,86,50,81,NA,77,NA,84,56,82
"Washington County ","Glade Spring Middle","English: Reading",81,NA,100,81,NA,85,60,78,48,83
"Washington County ","Glade Spring Middle","English: Writing",65,NA,NA,65,NA,73,NA,59,25,64
"Washington County ","Glade Spring Middle","History and Social Sciences",78,NA,NA,78,NA,75,78,82,47,79
"Washington County ","Glade Spring Middle","Mathematics",95,NA,100,95,NA,97,100,93,80,95
"Washington County ","Glade Spring Middle","Science",76,NA,NA,76,NA,68,NA,82,50,76
"Washington County ","Abingdon Elementary","English: Reading",92,NA,NA,92,NA,93,75,92,83,93
"Washington County ","Abingdon Elementary","History and Social Sciences",89,NA,NA,89,NA,92,NA,86,72,88
"Washington County ","Abingdon Elementary","Mathematics",90,NA,NA,90,NA,93,75,88,71,91
"Washington County ","Abingdon Elementary","Science",82,NA,NA,83,NA,79,NA,84,58,81
"Washington County ","High Point Elementary","English: Reading",92,NA,NA,92,NA,97,100,88,76,92
"Washington County ","High Point Elementary","History and Social Sciences",94,NA,NA,94,NA,93,NA,95,76,95
"Washington County ","High Point Elementary","Mathematics",95,NA,NA,95,NA,97,100,93,69,95
"Washington County ","High Point Elementary","Science",92,NA,NA,92,NA,96,NA,89,54,92
"Washington County ","Holston High","English: Reading",80,NA,NA,80,NA,88,NA,73,36,80
"Washington County ","Holston High","English: Writing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Washington County ","Holston High","History and Social Sciences",45,NA,NA,45,NA,NA,NA,43,NA,45
"Washington County ","Holston High","Mathematics",97,NA,NA,97,NA,98,NA,95,100,97
"Washington County ","Holston High","Science",91,NA,NA,91,NA,89,NA,93,56,91
"Washington County ","Patrick Henry High","English: Reading",92,NA,NA,91,NA,92,NA,91,57,92
"Washington County ","Patrick Henry High","English: Writing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Washington County ","Patrick Henry High","History and Social Sciences",68,NA,NA,69,NA,75,NA,54,33,66
"Washington County ","Patrick Henry High","Mathematics",88,NA,NA,89,NA,86,100,89,77,87
"Washington County ","Patrick Henry High","Science",95,NA,NA,95,NA,95,100,95,80,94
"Washington County ","John S. Battle High","English: Reading",92,NA,NA,92,NA,95,100,88,83,91
"Washington County ","John S. Battle High","English: Writing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Washington County ","John S. Battle High","History and Social Sciences",71,NA,NA,71,NA,81,NA,57,40,69
"Washington County ","John S. Battle High","Mathematics",82,NA,NA,81,NA,82,75,81,67,82
"Washington County ","John S. Battle High","Science",89,NA,NA,89,NA,89,100,90,69,89
"Washington County ","Abingdon High","English: Reading",86,NA,67,86,NA,89,100,82,54,86
"Washington County ","Abingdon High","English: Writing",99,100,NA,99,NA,99,100,100,NA,99
"Washington County ","Abingdon High","History and Social Sciences",51,NA,NA,50,NA,43,33,60,32,53
"Washington County ","Abingdon High","Mathematics",88,88,100,90,NA,90,93,86,77,88
"Washington County ","Abingdon High","Science",85,83,75,85,NA,86,84,85,53,86
