"Division","School","Year.Percent","Type"
"Virginia Beach City Public Schools","Kempsville Elementary",53,"Master's Degree"
"Virginia Beach City Public Schools","Kempsville Elementary",0,"Doctoral Degree"
"Virginia Beach City Public Schools","Kempsville High",44,"Bachelor's Degree"
"Virginia Beach City Public Schools","Kempsville High",51,"Master's Degree"
"Virginia Beach City Public Schools","Kempsville High",2,"Doctoral Degree"
"Virginia Beach City Public Schools","Kempsville Meadows Elementary",32,"Bachelor's Degree"
"Virginia Beach City Public Schools","Kempsville Meadows Elementary",64,"Master's Degree"
"Virginia Beach City Public Schools","Kempsville Meadows Elementary",0,"Doctoral Degree"
"Virginia Beach City Public Schools","Kempsville Middle",48,"Bachelor's Degree"
"Virginia Beach City Public Schools","Kempsville Middle",44,"Master's Degree"
"Virginia Beach City Public Schools","Kempsville Middle",3,"Doctoral Degree"
"Virginia Beach City Public Schools","King's Grant Elementary",45,"Bachelor's Degree"
"Virginia Beach City Public Schools","King's Grant Elementary",53,"Master's Degree"
"Virginia Beach City Public Schools","King's Grant Elementary",0,"Doctoral Degree"
"Virginia Beach City Public Schools","Kingston Elementary",43,"Bachelor's Degree"
"Virginia Beach City Public Schools","Kingston Elementary",54,"Master's Degree"
"Virginia Beach City Public Schools","Kingston Elementary",3,"Doctoral Degree"
"Virginia Beach City Public Schools","Landstown Elementary",45,"Bachelor's Degree"
"Virginia Beach City Public Schools","Landstown Elementary",55,"Master's Degree"
"Virginia Beach City Public Schools","Landstown Elementary",0,"Doctoral Degree"
"Virginia Beach City Public Schools","Landstown High",37,"Bachelor's Degree"
"Virginia Beach City Public Schools","Landstown High",59,"Master's Degree"
"Virginia Beach City Public Schools","Landstown High",3,"Doctoral Degree"
"Virginia Beach City Public Schools","Landstown Middle",45,"Bachelor's Degree"
"Virginia Beach City Public Schools","Landstown Middle",52,"Master's Degree"
"Virginia Beach City Public Schools","Landstown Middle",2,"Doctoral Degree"
"Virginia Beach City Public Schools","Larkspur Middle",41,"Bachelor's Degree"
"Virginia Beach City Public Schools","Larkspur Middle",56,"Master's Degree"
"Virginia Beach City Public Schools","Larkspur Middle",0,"Doctoral Degree"
"Virginia Beach City Public Schools","Linkhorn Park Elementary",47,"Bachelor's Degree"
"Virginia Beach City Public Schools","Linkhorn Park Elementary",49,"Master's Degree"
"Virginia Beach City Public Schools","Linkhorn Park Elementary",0,"Doctoral Degree"
"Virginia Beach City Public Schools","Luxford Elementary",50,"Bachelor's Degree"
"Virginia Beach City Public Schools","Luxford Elementary",50,"Master's Degree"
"Virginia Beach City Public Schools","Luxford Elementary",0,"Doctoral Degree"
"Virginia Beach City Public Schools","Lynnhaven Elementary",35,"Bachelor's Degree"
"Virginia Beach City Public Schools","Lynnhaven Elementary",57,"Master's Degree"
"Virginia Beach City Public Schools","Lynnhaven Elementary",5,"Doctoral Degree"
"Virginia Beach City Public Schools","Lynnhaven Middle",49,"Bachelor's Degree"
"Virginia Beach City Public Schools","Lynnhaven Middle",50,"Master's Degree"
"Virginia Beach City Public Schools","Lynnhaven Middle",1,"Doctoral Degree"
"Virginia Beach City Public Schools","Malibu Elementary",49,"Bachelor's Degree"
"Virginia Beach City Public Schools","Malibu Elementary",49,"Master's Degree"
"Virginia Beach City Public Schools","Malibu Elementary",3,"Doctoral Degree"
"Virginia Beach City Public Schools","New Castle Elementary",40,"Bachelor's Degree"
"Virginia Beach City Public Schools","New Castle Elementary",60,"Master's Degree"
"Virginia Beach City Public Schools","New Castle Elementary",0,"Doctoral Degree"
"Virginia Beach City Public Schools","Newtown Elementary",33,"Bachelor's Degree"
"Virginia Beach City Public Schools","Newtown Elementary",64,"Master's Degree"
"Virginia Beach City Public Schools","Newtown Elementary",0,"Doctoral Degree"
"Virginia Beach City Public Schools","North Landing Elementary",52,"Bachelor's Degree"
"Virginia Beach City Public Schools","North Landing Elementary",45,"Master's Degree"
"Virginia Beach City Public Schools","North Landing Elementary",3,"Doctoral Degree"
"Virginia Beach City Public Schools","Ocean Lakes Elementary",41,"Bachelor's Degree"
"Virginia Beach City Public Schools","Ocean Lakes Elementary",51,"Master's Degree"
"Virginia Beach City Public Schools","Ocean Lakes Elementary",3,"Doctoral Degree"
"Virginia Beach City Public Schools","Ocean Lakes High",45,"Bachelor's Degree"
"Virginia Beach City Public Schools","Ocean Lakes High",51,"Master's Degree"
"Virginia Beach City Public Schools","Ocean Lakes High",1,"Doctoral Degree"
"Virginia Beach City Public Schools","Old Donation School",41,"Bachelor's Degree"
"Virginia Beach City Public Schools","Old Donation School",53,"Master's Degree"
"Virginia Beach City Public Schools","Old Donation School",3,"Doctoral Degree"
"Virginia Beach City Public Schools","Parkway Elementary",35,"Bachelor's Degree"
"Virginia Beach City Public Schools","Parkway Elementary",65,"Master's Degree"
"Virginia Beach City Public Schools","Parkway Elementary",0,"Doctoral Degree"
"Virginia Beach City Public Schools","Pembroke Elementary",37,"Bachelor's Degree"
"Virginia Beach City Public Schools","Pembroke Elementary",56,"Master's Degree"
"Virginia Beach City Public Schools","Pembroke Elementary",2,"Doctoral Degree"
"Virginia Beach City Public Schools","Pembroke Meadows Elementary",49,"Bachelor's Degree"
"Virginia Beach City Public Schools","Pembroke Meadows Elementary",44,"Master's Degree"
"Virginia Beach City Public Schools","Pembroke Meadows Elementary",7,"Doctoral Degree"
"Virginia Beach City Public Schools","Plaza Middle",39,"Bachelor's Degree"
"Virginia Beach City Public Schools","Plaza Middle",58,"Master's Degree"
"Virginia Beach City Public Schools","Plaza Middle",1,"Doctoral Degree"
"Virginia Beach City Public Schools","Point O' View Elementary",35,"Bachelor's Degree"
"Virginia Beach City Public Schools","Point O' View Elementary",62,"Master's Degree"
"Virginia Beach City Public Schools","Point O' View Elementary",0,"Doctoral Degree"
"Virginia Beach City Public Schools","Princess Anne Elementary",33,"Bachelor's Degree"
"Virginia Beach City Public Schools","Princess Anne Elementary",64,"Master's Degree"
"Virginia Beach City Public Schools","Princess Anne Elementary",0,"Doctoral Degree"
"Virginia Beach City Public Schools","Princess Anne High",40,"Bachelor's Degree"
"Virginia Beach City Public Schools","Princess Anne High",58,"Master's Degree"
"Virginia Beach City Public Schools","Princess Anne High",1,"Doctoral Degree"
"Virginia Beach City Public Schools","Princess Anne Middle",49,"Bachelor's Degree"
"Virginia Beach City Public Schools","Princess Anne Middle",48,"Master's Degree"
"Virginia Beach City Public Schools","Princess Anne Middle",1,"Doctoral Degree"
"Virginia Beach City Public Schools","Providence Elementary",41,"Bachelor's Degree"
"Virginia Beach City Public Schools","Providence Elementary",51,"Master's Degree"
"Virginia Beach City Public Schools","Providence Elementary",2,"Doctoral Degree"
"Virginia Beach City Public Schools","Red Mill Elementary",45,"Bachelor's Degree"
"Virginia Beach City Public Schools","Red Mill Elementary",50,"Master's Degree"
"Virginia Beach City Public Schools","Red Mill Elementary",2,"Doctoral Degree"
"Virginia Beach City Public Schools","Rosemont Elementary",50,"Bachelor's Degree"
"Virginia Beach City Public Schools","Rosemont Elementary",48,"Master's Degree"
"Virginia Beach City Public Schools","Rosemont Elementary",0,"Doctoral Degree"
"Virginia Beach City Public Schools","Rosemont Forest Elementary",35,"Bachelor's Degree"
"Virginia Beach City Public Schools","Rosemont Forest Elementary",57,"Master's Degree"
"Virginia Beach City Public Schools","Rosemont Forest Elementary",0,"Doctoral Degree"
"Virginia Beach City Public Schools","Salem Elementary",28,"Bachelor's Degree"
"Virginia Beach City Public Schools","Salem Elementary",69,"Master's Degree"
"Virginia Beach City Public Schools","Salem Elementary",3,"Doctoral Degree"
"Virginia Beach City Public Schools","Salem High",50,"Bachelor's Degree"
"Virginia Beach City Public Schools","Salem High",44,"Master's Degree"
"Virginia Beach City Public Schools","Salem High",2,"Doctoral Degree"
"Virginia Beach City Public Schools","Salem Middle",57,"Bachelor's Degree"
"Virginia Beach City Public Schools","Salem Middle",41,"Master's Degree"
"Virginia Beach City Public Schools","Salem Middle",1,"Doctoral Degree"
"Virginia Beach City Public Schools","Seatack Elementary an Achievable Dream Academy",41,"Bachelor's Degree"
"Virginia Beach City Public Schools","Seatack Elementary an Achievable Dream Academy",50,"Master's Degree"
"Virginia Beach City Public Schools","Seatack Elementary an Achievable Dream Academy",6,"Doctoral Degree"
"Virginia Beach City Public Schools","Shelton Park Elementary",39,"Bachelor's Degree"
"Virginia Beach City Public Schools","Shelton Park Elementary",61,"Master's Degree"
"Virginia Beach City Public Schools","Shelton Park Elementary",0,"Doctoral Degree"
"Virginia Beach City Public Schools","Strawbridge Elementary",51,"Bachelor's Degree"
"Virginia Beach City Public Schools","Strawbridge Elementary",45,"Master's Degree"
"Virginia Beach City Public Schools","Strawbridge Elementary",0,"Doctoral Degree"
"Virginia Beach City Public Schools","Tallwood Elementary",46,"Bachelor's Degree"
"Virginia Beach City Public Schools","Tallwood Elementary",46,"Master's Degree"
"Virginia Beach City Public Schools","Tallwood Elementary",3,"Doctoral Degree"
"Virginia Beach City Public Schools","Tallwood High",49,"Bachelor's Degree"
"Virginia Beach City Public Schools","Tallwood High",49,"Master's Degree"
"Virginia Beach City Public Schools","Tallwood High",1,"Doctoral Degree"
"Virginia Beach City Public Schools","Thalia Elementary",43,"Bachelor's Degree"
"Virginia Beach City Public Schools","Thalia Elementary",55,"Master's Degree"
"Virginia Beach City Public Schools","Thalia Elementary",3,"Doctoral Degree"
"Virginia Beach City Public Schools","Thoroughgood Elementary",25,"Bachelor's Degree"
"Virginia Beach City Public Schools","Thoroughgood Elementary",69,"Master's Degree"
"Virginia Beach City Public Schools","Thoroughgood Elementary",2,"Doctoral Degree"
"Virginia Beach City Public Schools","Three Oaks Elementary",50,"Bachelor's Degree"
"Virginia Beach City Public Schools","Three Oaks Elementary",44,"Master's Degree"
"Virginia Beach City Public Schools","Three Oaks Elementary",2,"Doctoral Degree"
"Virginia Beach City Public Schools","Trantwood Elementary",32,"Bachelor's Degree"
"Virginia Beach City Public Schools","Trantwood Elementary",58,"Master's Degree"
"Virginia Beach City Public Schools","Trantwood Elementary",3,"Doctoral Degree"
"Virginia Beach City Public Schools","Virginia Beach Middle",48,"Bachelor's Degree"
"Virginia Beach City Public Schools","Virginia Beach Middle",45,"Master's Degree"
"Virginia Beach City Public Schools","Virginia Beach Middle",3,"Doctoral Degree"
"Virginia Beach City Public Schools","W.T. Cooke Elementary",38,"Bachelor's Degree"
"Virginia Beach City Public Schools","W.T. Cooke Elementary",62,"Master's Degree"
"Virginia Beach City Public Schools","W.T. Cooke Elementary",0,"Doctoral Degree"
"Virginia Beach City Public Schools","White Oaks Elementary",42,"Bachelor's Degree"
"Virginia Beach City Public Schools","White Oaks Elementary",52,"Master's Degree"
"Virginia Beach City Public Schools","White Oaks Elementary",0,"Doctoral Degree"
"Virginia Beach City Public Schools","Williams Elementary",50,"Bachelor's Degree"
"Virginia Beach City Public Schools","Williams Elementary",47,"Master's Degree"
"Virginia Beach City Public Schools","Williams Elementary",0,"Doctoral Degree"
"Virginia Beach City Public Schools","Windsor Oaks Elementary",47,"Bachelor's Degree"
"Virginia Beach City Public Schools","Windsor Oaks Elementary",51,"Master's Degree"
"Virginia Beach City Public Schools","Windsor Oaks Elementary",2,"Doctoral Degree"
"Virginia Beach City Public Schools","Windsor Woods Elementary",58,"Bachelor's Degree"
"Virginia Beach City Public Schools","Windsor Woods Elementary",35,"Master's Degree"
"Virginia Beach City Public Schools","Windsor Woods Elementary",0,"Doctoral Degree"
"Virginia Beach City Public Schools","Woodstock Elementary",42,"Bachelor's Degree"
"Virginia Beach City Public Schools","Woodstock Elementary",58,"Master's Degree"
"Virginia Beach City Public Schools","Woodstock Elementary",0,"Doctoral Degree"
"Warren County Public Schools","A.S. Rhodes Elementary",52,"Bachelor's Degree"
"Warren County Public Schools","A.S. Rhodes Elementary",43,"Master's Degree"
"Warren County Public Schools","A.S. Rhodes Elementary",0,"Doctoral Degree"
"Warren County Public Schools","E. Wilson Morrison Elementary",60,"Bachelor's Degree"
"Warren County Public Schools","E. Wilson Morrison Elementary",35,"Master's Degree"
"Warren County Public Schools","E. Wilson Morrison Elementary",0,"Doctoral Degree"
"Warren County Public Schools","Hilda J. Barbour Elementary",54,"Bachelor's Degree"
"Warren County Public Schools","Hilda J. Barbour Elementary",44,"Master's Degree"
"Warren County Public Schools","Hilda J. Barbour Elementary",0,"Doctoral Degree"
"Warren County Public Schools","Leslie Fox Keyser Elementary",52,"Bachelor's Degree"
"Warren County Public Schools","Leslie Fox Keyser Elementary",39,"Master's Degree"
"Warren County Public Schools","Leslie Fox Keyser Elementary",0,"Doctoral Degree"
"Warren County Public Schools","Ressie Jeffries Elementary",53,"Bachelor's Degree"
"Warren County Public Schools","Ressie Jeffries Elementary",45,"Master's Degree"
"Warren County Public Schools","Ressie Jeffries Elementary",0,"Doctoral Degree"
"Warren County Public Schools","Skyline High",53,"Bachelor's Degree"
"Warren County Public Schools","Skyline High",40,"Master's Degree"
"Warren County Public Schools","Skyline High",1,"Doctoral Degree"
"Warren County Public Schools","Skyline Middle",66,"Bachelor's Degree"
"Warren County Public Schools","Skyline Middle",34,"Master's Degree"
"Warren County Public Schools","Skyline Middle",0,"Doctoral Degree"
"Warren County Public Schools","Warren County High",52,"Bachelor's Degree"
"Warren County Public Schools","Warren County High",41,"Master's Degree"
"Warren County Public Schools","Warren County High",1,"Doctoral Degree"
"Warren County Public Schools","Warren County Middle",60,"Bachelor's Degree"
"Warren County Public Schools","Warren County Middle",40,"Master's Degree"
"Warren County Public Schools","Warren County Middle",0,"Doctoral Degree"
"Washington County Public Schools","Abingdon Elementary",40,"Bachelor's Degree"
"Washington County Public Schools","Abingdon Elementary",57,"Master's Degree"
