"Division","School","Year.Percent","Type"
"Arlington County Public Schools","Kenmore Middle",24,"Bachelor's Degree"
"Arlington County Public Schools","Kenmore Middle",72,"Master's Degree"
"Arlington County Public Schools","Kenmore Middle",2,"Doctoral Degree"
"Arlington County Public Schools","Long Branch Elementary",17,"Bachelor's Degree"
"Arlington County Public Schools","Long Branch Elementary",79,"Master's Degree"
"Arlington County Public Schools","Long Branch Elementary",3,"Doctoral Degree"
"Arlington County Public Schools","Nottingham Elementary",16,"Bachelor's Degree"
"Arlington County Public Schools","Nottingham Elementary",82,"Master's Degree"
"Arlington County Public Schools","Nottingham Elementary",2,"Doctoral Degree"
"Arlington County Public Schools","Oakridge Elementary",27,"Bachelor's Degree"
"Arlington County Public Schools","Oakridge Elementary",68,"Master's Degree"
"Arlington County Public Schools","Oakridge Elementary",1,"Doctoral Degree"
"Arlington County Public Schools","Randolph Elementary",27,"Bachelor's Degree"
"Arlington County Public Schools","Randolph Elementary",68,"Master's Degree"
"Arlington County Public Schools","Randolph Elementary",3,"Doctoral Degree"
"Arlington County Public Schools","Swanson Middle",26,"Bachelor's Degree"
"Arlington County Public Schools","Swanson Middle",71,"Master's Degree"
"Arlington County Public Schools","Swanson Middle",1,"Doctoral Degree"
"Arlington County Public Schools","Taylor Elementary",25,"Bachelor's Degree"
"Arlington County Public Schools","Taylor Elementary",72,"Master's Degree"
"Arlington County Public Schools","Taylor Elementary",3,"Doctoral Degree"
"Arlington County Public Schools","Tuckahoe Elementary",22,"Bachelor's Degree"
"Arlington County Public Schools","Tuckahoe Elementary",76,"Master's Degree"
"Arlington County Public Schools","Tuckahoe Elementary",2,"Doctoral Degree"
"Arlington County Public Schools","Wakefield High",20,"Bachelor's Degree"
"Arlington County Public Schools","Wakefield High",74,"Master's Degree"
"Arlington County Public Schools","Wakefield High",5,"Doctoral Degree"
"Arlington County Public Schools","Washington-Liberty High",22,"Bachelor's Degree"
"Arlington County Public Schools","Washington-Liberty High",75,"Master's Degree"
"Arlington County Public Schools","Washington-Liberty High",3,"Doctoral Degree"
"Arlington County Public Schools","Williamsburg Middle",24,"Bachelor's Degree"
"Arlington County Public Schools","Williamsburg Middle",75,"Master's Degree"
"Arlington County Public Schools","Williamsburg Middle",0,"Doctoral Degree"
"Arlington County Public Schools","Yorktown High",19,"Bachelor's Degree"
"Arlington County Public Schools","Yorktown High",80,"Master's Degree"
"Arlington County Public Schools","Yorktown High",2,"Doctoral Degree"
"Augusta County Public Schools","Beverley Manor Middle",47,"Bachelor's Degree"
"Augusta County Public Schools","Beverley Manor Middle",50,"Master's Degree"
"Augusta County Public Schools","Beverley Manor Middle",1,"Doctoral Degree"
"Augusta County Public Schools","Buffalo Gap High",50,"Bachelor's Degree"
"Augusta County Public Schools","Buffalo Gap High",46,"Master's Degree"
"Augusta County Public Schools","Buffalo Gap High",2,"Doctoral Degree"
"Augusta County Public Schools","Cassell Elementary",61,"Bachelor's Degree"
"Augusta County Public Schools","Cassell Elementary",37,"Master's Degree"
"Augusta County Public Schools","Cassell Elementary",2,"Doctoral Degree"
"Augusta County Public Schools","Churchville Elementary",71,"Bachelor's Degree"
"Augusta County Public Schools","Churchville Elementary",25,"Master's Degree"
"Augusta County Public Schools","Churchville Elementary",0,"Doctoral Degree"
"Augusta County Public Schools","Craigsville Elementary",50,"Bachelor's Degree"
"Augusta County Public Schools","Craigsville Elementary",45,"Master's Degree"
"Augusta County Public Schools","Craigsville Elementary",0,"Doctoral Degree"
"Augusta County Public Schools","Edward G. Clymore Elementary",47,"Bachelor's Degree"
"Augusta County Public Schools","Edward G. Clymore Elementary",51,"Master's Degree"
"Augusta County Public Schools","Edward G. Clymore Elementary",0,"Doctoral Degree"
"Augusta County Public Schools","Fort Defiance High",41,"Bachelor's Degree"
"Augusta County Public Schools","Fort Defiance High",58,"Master's Degree"
"Augusta County Public Schools","Fort Defiance High",0,"Doctoral Degree"
"Augusta County Public Schools","Guy K. Stump Elementary",50,"Bachelor's Degree"
"Augusta County Public Schools","Guy K. Stump Elementary",50,"Master's Degree"
"Augusta County Public Schools","Guy K. Stump Elementary",0,"Doctoral Degree"
"Augusta County Public Schools","North River Elementary",60,"Bachelor's Degree"
"Augusta County Public Schools","North River Elementary",40,"Master's Degree"
"Augusta County Public Schools","North River Elementary",0,"Doctoral Degree"
"Augusta County Public Schools","Riverheads Elementary",60,"Bachelor's Degree"
"Augusta County Public Schools","Riverheads Elementary",38,"Master's Degree"
"Augusta County Public Schools","Riverheads Elementary",0,"Doctoral Degree"
"Augusta County Public Schools","Riverheads High",55,"Bachelor's Degree"
"Augusta County Public Schools","Riverheads High",45,"Master's Degree"
"Augusta County Public Schools","Riverheads High",0,"Doctoral Degree"
"Augusta County Public Schools","S. Gordon Stewart Middle",47,"Bachelor's Degree"
"Augusta County Public Schools","S. Gordon Stewart Middle",51,"Master's Degree"
"Augusta County Public Schools","S. Gordon Stewart Middle",2,"Doctoral Degree"
"Augusta County Public Schools","Stuarts Draft Elementary",49,"Bachelor's Degree"
"Augusta County Public Schools","Stuarts Draft Elementary",49,"Master's Degree"
"Augusta County Public Schools","Stuarts Draft Elementary",0,"Doctoral Degree"
"Augusta County Public Schools","Stuarts Draft High",33,"Bachelor's Degree"
"Augusta County Public Schools","Stuarts Draft High",63,"Master's Degree"
"Augusta County Public Schools","Stuarts Draft High",1,"Doctoral Degree"
"Augusta County Public Schools","Stuarts Draft Middle",41,"Bachelor's Degree"
"Augusta County Public Schools","Stuarts Draft Middle",55,"Master's Degree"
"Augusta County Public Schools","Stuarts Draft Middle",4,"Doctoral Degree"
"Augusta County Public Schools","Wilson Elementary",48,"Bachelor's Degree"
"Augusta County Public Schools","Wilson Elementary",50,"Master's Degree"
"Augusta County Public Schools","Wilson Elementary",0,"Doctoral Degree"
"Augusta County Public Schools","Wilson Memorial High",49,"Bachelor's Degree"
"Augusta County Public Schools","Wilson Memorial High",49,"Master's Degree"
"Augusta County Public Schools","Wilson Memorial High",1,"Doctoral Degree"
"Augusta County Public Schools","Wilson Middle",41,"Bachelor's Degree"
"Augusta County Public Schools","Wilson Middle",58,"Master's Degree"
"Augusta County Public Schools","Wilson Middle",0,"Doctoral Degree"
"Bath County Public Schools","Bath County High",36,"Bachelor's Degree"
"Bath County Public Schools","Bath County High",50,"Master's Degree"
"Bath County Public Schools","Bath County High",4,"Doctoral Degree"
"Bath County Public Schools","Millboro Elementary",55,"Bachelor's Degree"
"Bath County Public Schools","Millboro Elementary",45,"Master's Degree"
"Bath County Public Schools","Millboro Elementary",0,"Doctoral Degree"
"Bath County Public Schools","Valley Elementary",44,"Bachelor's Degree"
"Bath County Public Schools","Valley Elementary",56,"Master's Degree"
"Bath County Public Schools","Valley Elementary",0,"Doctoral Degree"
"Bedford County Public Schools","Bedford Elementary",53,"Bachelor's Degree"
"Bedford County Public Schools","Bedford Elementary",40,"Master's Degree"
"Bedford County Public Schools","Bedford Elementary",0,"Doctoral Degree"
"Bedford County Public Schools","Bedford Primary",35,"Bachelor's Degree"
"Bedford County Public Schools","Bedford Primary",58,"Master's Degree"
"Bedford County Public Schools","Bedford Primary",0,"Doctoral Degree"
"Bedford County Public Schools","Big Island Elementary",45,"Bachelor's Degree"
"Bedford County Public Schools","Big Island Elementary",45,"Master's Degree"
"Bedford County Public Schools","Big Island Elementary",0,"Doctoral Degree"
"Bedford County Public Schools","Boonsboro Elementary",41,"Bachelor's Degree"
