"Year","Division","School","Total.Per.Pupil.Expenditures"
"2018 - 2019","Chesapeake City Public Schools","Portlock Primary",13068
"2018 - 2019","Chesapeake City Public Schools","Western Branch Primary",9218
"2018 - 2019","Chesapeake City Public Schools","Deep Creek Elementary",9546
"2018 - 2019","Chesapeake City Public Schools","Deep Creek Central Elementary",9404
"2018 - 2019","Chesapeake City Public Schools","Greenbrier Intermediate",10685
"2018 - 2019","Chesapeake City Public Schools","Camelot Elementary",11994
"2018 - 2019","Chesapeake City Public Schools","Thurgood Marshall Elementary",13304
"2018 - 2019","Chesapeake City Public Schools","G.A. Treakle Elementary",13280
"2018 - 2019","Chesapeake City Public Schools","Southwestern Elementary",11169
"2018 - 2019","Chesapeake City Public Schools","George W. Carver Intermediate",10952
"2018 - 2019","Chesapeake City Public Schools","Butts Road Intermediate",9637
"2018 - 2019","Chesapeake City Public Schools","Great Bridge Intermediate",8877
"2018 - 2019","Chesapeake City Public Schools","Butts Road Primary",10505
"2018 - 2019","Chesapeake City Public Schools","Sparrow Road Intermediate",10766
"2018 - 2019","Chesapeake City Public Schools","Great Bridge Primary",9276
"2018 - 2019","Chesapeake City Public Schools","Rena B. Wright Primary",15308
"2018 - 2019","Chesapeake City Public Schools","Hickory Elementary",10577
"2018 - 2019","Chesapeake City Public Schools","Norfolk Highlands Primary",13341
"2018 - 2019","Chesapeake City Public Schools","Truitt Intermediate",13818
"2018 - 2019","Stafford County Public Schools","Stafford Senior High",10234
"2018 - 2019","Stafford County Public Schools","Colonial Forge High",9411
"2018 - 2019","Stafford County Public Schools","North Stafford High",10859
"2018 - 2019","Stafford County Public Schools","Brooke Point High",9316
"2018 - 2019","Stafford County Public Schools","Mountain View High ",9460
"2018 - 2019","Stafford County Public Schools","T. Benton Gayle Middle",10074
"2018 - 2019","Stafford County Public Schools","Shirley C. Heim Middle",9132
"2018 - 2019","Stafford County Public Schools","Rodney E. Thompson Middle",8668
"2018 - 2019","Stafford County Public Schools","Stafford Middle",9446
"2018 - 2019","Stafford County Public Schools","Donald B. Dixon-Lyle R. Smith Middle",11060
"2018 - 2019","Stafford County Public Schools","Andrew G. Wright Middle",9458
"2018 - 2019","Stafford County Public Schools","Rocky Run Elementary",8928
"2018 - 2019","Stafford County Public Schools","H.H. Poole Middle",10363
"2018 - 2019","Stafford County Public Schools","Hampton Oaks Elementary",10522
"2018 - 2019","Stafford County Public Schools","Winding Creek Elementary",7970
"2018 - 2019","Stafford County Public Schools","Margaret Brent Elementary ",8855
"2018 - 2019","Stafford County Public Schools","Kate Waller Barrett Elementary",9349
"2018 - 2019","Stafford County Public Schools","Conway Elementary",9434
"2018 - 2019","Stafford County Public Schools","Anthony Burns Elementary",9020
"2018 - 2019","Stafford County Public Schools","Anne E. Moncure Elementary",8585
"2018 - 2019","Stafford County Public Schools","Garrisonville Elementary",12233
"2018 - 2019","Stafford County Public Schools","Widewater Elementary",9007
"2018 - 2019","Stafford County Public Schools","Stafford Elementary",9077
"2018 - 2019","Stafford County Public Schools","Falmouth Elementary",10314
"2018 - 2019","Stafford County Public Schools","Ferry Farm Elementary",10740
"2018 - 2019","Stafford County Public Schools","Rockhill Elementary",11055
"2018 - 2019","Stafford County Public Schools","Grafton Village Elementary",10030
"2018 - 2019","Stafford County Public Schools","Park Ridge Elementary",9136
"2018 - 2019","Stafford County Public Schools","Edward E. Drew Jr. Middle",10643
"2018 - 2019","Stafford County Public Schools","Hartwood Elementary",11129
"2018 - 2019","Radford City Public Schools","Radford High",12841
"2018 - 2019","Radford City Public Schools","Belle Heth Elementary",9113
"2018 - 2019","Radford City Public Schools","McHarg Elementary",10083
"2018 - 2019","Radford City Public Schools","John N. Dalton Intermediate",8919
"2018 - 2019","Scott County Public Schools","Shoemaker Elementary",9530
"2018 - 2019","Scott County Public Schools","Gate City High",6735
"2018 - 2019","Scott County Public Schools","Gate City Middle",10532
"2018 - 2019","Scott County Public Schools","Duffield-Pattonsville Primary",9622
"2018 - 2019","Scott County Public Schools","Twin Springs High",12477
"2018 - 2019","Scott County Public Schools","Rye Cove High",11098
"2018 - 2019","Scott County Public Schools","Weber City Elementary",7355
"2018 - 2019","Scott County Public Schools","Nickelsville Elementary",9772
"2018 - 2019","Scott County Public Schools","Hilton Elementary",12099
"2018 - 2019","Scott County Public Schools","Yuma Elementary",9296
"2018 - 2019","Scott County Public Schools","Rye Cove Intermediate",9678
"2018 - 2019","Scott County Public Schools","Fort Blackmore Primary",10713
"2018 - 2019","Scott County Public Schools","Dungannon Intermediate",11402
"2018 - 2019","Virginia Beach City Public Schools","Landstown High",10058
"2018 - 2019","Virginia Beach City Public Schools","Ocean Lakes High",10453
"2018 - 2019","Virginia Beach City Public Schools","Princess Anne High",11892
"2018 - 2019","Virginia Beach City Public Schools","Bayside High",10570
"2018 - 2019","Virginia Beach City Public Schools","Floyd Kellam High",10191
"2018 - 2019","Virginia Beach City Public Schools","Tallwood High",10155
"2018 - 2019","Virginia Beach City Public Schools","First Colonial High",10187
"2018 - 2019","Virginia Beach City Public Schools","Salem High",10206
"2018 - 2019","Virginia Beach City Public Schools","Frank W. Cox High",9869
"2018 - 2019","Virginia Beach City Public Schools","Kempsville High",10365
"2018 - 2019","Virginia Beach City Public Schools","Green Run High",11499
"2018 - 2019","Virginia Beach City Public Schools","Larkspur Middle",9958
"2018 - 2019","Virginia Beach City Public Schools","Princess Anne Middle",9737
"2018 - 2019","Virginia Beach City Public Schools","Landstown Middle",9666
"2018 - 2019","Virginia Beach City Public Schools","Corporate Landing Middle",11159
"2018 - 2019","Virginia Beach City Public Schools","Brandon Middle",10335
"2018 - 2019","Virginia Beach City Public Schools","Independence Middle",9730
"2018 - 2019","Virginia Beach City Public Schools","Old Donation School",10101
"2018 - 2019","Virginia Beach City Public Schools","Plaza Middle",10656
"2018 - 2019","Virginia Beach City Public Schools","Great Neck Middle",10156
"2018 - 2019","Virginia Beach City Public Schools","Salem Middle",10534
"2018 - 2019","Virginia Beach City Public Schools","Glenwood Elementary",10351
"2018 - 2019","Virginia Beach City Public Schools","Lynnhaven Middle",11201
"2018 - 2019","Virginia Beach City Public Schools","Bayside Middle",13225
"2018 - 2019","Virginia Beach City Public Schools","Birdneck Elementary",13669
"2018 - 2019","Virginia Beach City Public Schools","Virginia Beach Middle",10611
"2018 - 2019","Virginia Beach City Public Schools","Kempsville Middle",11280
"2018 - 2019","Virginia Beach City Public Schools","Point O' View Elementary",11686
"2018 - 2019","Virginia Beach City Public Schools","Landstown Elementary",10281
"2018 - 2019","Virginia Beach City Public Schools","Pembroke Elementary",15271
"2018 - 2019","Virginia Beach City Public Schools","Holland Elementary",13204
"2018 - 2019","Virginia Beach City Public Schools","Brookwood Elementary",12267
"2018 - 2019","Virginia Beach City Public Schools","Diamond Springs Elementary",13285
"2018 - 2019","Virginia Beach City Public Schools","Alanton Elementary",11939
"2018 - 2019","Virginia Beach City Public Schools","Woodstock Elementary",10580
"2018 - 2019","Virginia Beach City Public Schools","John B. Dey Elementary",9475
"2018 - 2019","Virginia Beach City Public Schools","Three Oaks Elementary",9849
"2018 - 2019","Virginia Beach City Public Schools","Princess Anne Elementary",11162
"2018 - 2019","Virginia Beach City Public Schools","New Castle Elementary",9474
"2018 - 2019","Virginia Beach City Public Schools","College Park Elementary",12890
"2018 - 2019","Virginia Beach City Public Schools","Centerville Elementary",10251
"2018 - 2019","Virginia Beach City Public Schools","Red Mill Elementary",10487
"2018 - 2019","Virginia Beach City Public Schools","White Oaks Elementary",10852
"2018 - 2019","Virginia Beach City Public Schools","Parkway Elementary",14352
"2018 - 2019","Virginia Beach City Public Schools","Indian Lakes Elementary",10544
"2018 - 2019","Virginia Beach City Public Schools","Strawbridge Elementary",10336
"2018 - 2019","Virginia Beach City Public Schools","Christopher Farms Elementary",9779
"2018 - 2019","Virginia Beach City Public Schools","Thalia Elementary",11498
"2018 - 2019","Virginia Beach City Public Schools","Hermitage Elementary",10147
"2018 - 2019","Virginia Beach City Public Schools","Tallwood Elementary",10849
"2018 - 2019","Virginia Beach City Public Schools","Thoroughgood Elementary",10233
"2018 - 2019","Virginia Beach City Public Schools","Williams Elementary",11783
"2018 - 2019","Virginia Beach City Public Schools","Newtown Elementary",12714
"2018 - 2019","Virginia Beach City Public Schools","Corporate Landing Elementary",14083
"2018 - 2019","Virginia Beach City Public Schools","Providence Elementary",11383
"2018 - 2019","Virginia Beach City Public Schools","King's Grant Elementary",11169
"2018 - 2019","Virginia Beach City Public Schools","Luxford Elementary",12160
"2018 - 2019","Virginia Beach City Public Schools","Windsor Oaks Elementary",10798
"2018 - 2019","Virginia Beach City Public Schools","Linkhorn Park Elementary",11142
"2018 - 2019","Virginia Beach City Public Schools","W.T. Cooke Elementary",11636
"2018 - 2019","Virginia Beach City Public Schools","Kempsville Elementary",12419
"2018 - 2019","Virginia Beach City Public Schools","Lynnhaven Elementary",14581
"2018 - 2019","Virginia Beach City Public Schools","Rosemont Elementary",13767
"2018 - 2019","Virginia Beach City Public Schools","Ocean Lakes Elementary",10386
"2018 - 2019","Virginia Beach City Public Schools","Seatack Elementary an Achievable Dream Academy",16358
"2018 - 2019","Virginia Beach City Public Schools","Bayside Elementary",11421
"2018 - 2019","Virginia Beach City Public Schools","Arrowhead Elementary",11425
"2018 - 2019","Virginia Beach City Public Schools","Salem Elementary",11991
"2018 - 2019","Virginia Beach City Public Schools","Pembroke Meadows Elementary",11090
"2018 - 2019","Virginia Beach City Public Schools","Green Run Elementary",15641
"2018 - 2019","Virginia Beach City Public Schools","Fairfield Elementary",10602
"2018 - 2019","Virginia Beach City Public Schools","Shelton Park Elementary",13651
"2018 - 2019","Virginia Beach City Public Schools","Trantwood Elementary",11157
"2018 - 2019","Virginia Beach City Public Schools","Kempsville Meadows Elementary",12602
"2018 - 2019","Virginia Beach City Public Schools","Windsor Woods Elementary",14185
"2018 - 2019","Virginia Beach City Public Schools","Malibu Elementary",12866
"2018 - 2019","Virginia Beach City Public Schools","Rosemont Forest Elementary",10675
"2018 - 2019","Virginia Beach City Public Schools","Kingston Elementary",9959
"2018 - 2019","Virginia Beach City Public Schools","Bayside 6th Grade Campus",13378
"2018 - 2019","Virginia Beach City Public Schools","North Landing Elementary",11764
"2018 - 2019","Virginia Beach City Public Schools","Green Run Collegiate",12159
"2018 - 2019","Virginia Beach City Public Schools","Creeds Elementary",12619
"2018 - 2019","Lunenburg County Public Schools","Central High",7855
"2018 - 2019","Lunenburg County Public Schools","Lunenburg Middle",6576
"2018 - 2019","Lunenburg County Public Schools","Kenbridge Elementary",5984
"2018 - 2019","Lunenburg County Public Schools","Victoria Elementary",5491
