"Division","Sch.Name","English: Reading_All Students","History and Social Sciences_All Students","Mathematics_All Students","Science_All Students","English: Reading_Asian","History and Social Sciences_Asian","Mathematics_Asian","Science_Asian","English: Reading_Black","History and Social Sciences_Black","Mathematics_Black","Science_Black","English: Reading_Economically Disadvantaged","History and Social Sciences_Economically Disadvantaged","Mathematics_Economically Disadvantaged","Science_Economically Disadvantaged","English: Reading_English Learners","History and Social Sciences_English Learners","Mathematics_English Learners","Science_English Learners","English: Reading_Female","History and Social Sciences_Female","Mathematics_Female","Science_Female","English: Reading_Hispanic","History and Social Sciences_Hispanic","Mathematics_Hispanic","Science_Hispanic","English: Reading_Male","History and Social Sciences_Male","Mathematics_Male","Science_Male","English: Reading_Students with Disabilities","History and Social Sciences_Students with Disabilities","Mathematics_Students with Disabilities","Science_Students with Disabilities","English: Reading_White","History and Social Sciences_White","Mathematics_White","Science_White","English: Writing_All Students","English: Writing_Asian","English: Writing_Black","English: Writing_Economically Disadvantaged","English: Writing_English Learners","English: Writing_Female","English: Writing_Hispanic","English: Writing_Male","English: Writing_Students with Disabilities","English: Writing_White"
"Tazewell County Public Schools","Cedar Bluff Elementary",82,90,90,80,NA,NA,NA,NA,NA,NA,NA,NA,73,89,86,67,NA,NA,NA,NA,80,94,88,74,NA,NA,NA,NA,83,86,92,87,68,63,68,60,83,92,90,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tazewell County Public Schools","Richlands Middle",83,84,89,80,NA,NA,NA,NA,80,NA,80,NA,81,78,86,77,NA,NA,NA,NA,83,81,91,75,NA,NA,NA,NA,84,86,87,84,59,60,73,53,83,84,89,80,73,NA,NA,66,NA,74,NA,72,40,73
"Tazewell County Public Schools","Richlands Elementary",80,96,93,92,NA,NA,NA,NA,NA,NA,NA,NA,76,95,93,91,NA,NA,NA,NA,86,98,95,90,NA,NA,NA,NA,75,93,91,94,56,79,77,71,81,97,94,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tazewell County Public Schools","Richlands High",89,87,95,93,NA,NA,NA,NA,NA,NA,NA,NA,84,81,93,91,NA,NA,NA,NA,92,85,96,90,NA,NA,NA,NA,85,90,93,96,45,62,77,71,88,87,95,93,95,NA,NA,92,NA,95,NA,94,80,95
"Tazewell County Public Schools","North Tazewell Elementary",79,94,86,88,NA,NA,NA,NA,NA,NA,NA,NA,80,93,86,87,NA,NA,NA,NA,80,87,90,93,NA,NA,NA,NA,78,100,83,83,69,60,63,80,78,93,86,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tazewell County Public Schools","Tazewell Elementary",83,94,95,81,NA,NA,NA,NA,63,100,100,50,77,92,94,71,NA,NA,NA,NA,85,94,95,71,NA,NA,NA,NA,81,94,96,88,68,80,77,89,86,95,95,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tazewell County Public Schools","Abb's Valley-Boissevain Elementary",71,75,80,85,NA,NA,NA,NA,NA,NA,NA,NA,60,62,75,81,NA,NA,NA,NA,74,73,79,86,NA,NA,NA,NA,68,76,81,83,50,33,72,100,70,74,80,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tazewell County Public Schools","Tazewell Middle",85,86,88,82,NA,NA,NA,NA,75,NA,64,NA,79,82,83,76,NA,NA,NA,NA,89,89,94,84,NA,NA,NA,NA,80,83,83,80,55,54,64,43,85,85,89,82,78,NA,NA,71,NA,86,NA,68,27,78
"Tazewell County Public Schools","Graham Middle",83,85,91,79,NA,NA,NA,NA,81,80,88,60,76,75,89,67,NA,NA,NA,NA,85,79,91,69,NA,NA,NA,NA,81,90,92,89,46,50,63,28,84,86,92,80,72,NA,80,67,NA,77,NA,68,33,72
"Bath County Public Schools","Valley Elementary",71,73,85,87,NA,NA,NA,NA,80,NA,100,NA,64,70,80,80,NA,NA,NA,NA,77,77,88,100,NA,NA,NA,NA,65,68,81,79,36,43,43,NA,71,73,85,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sussex County Public Schools","Sussex Central Elementary",78,77,88,89,NA,NA,NA,NA,77,77,86,87,75,72,85,79,NA,NA,NA,NA,82,78,88,88,86,NA,86,NA,75,76,88,89,64,50,75,75,84,82,94,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sussex County Public Schools","Sussex Central Middle",75,93,84,86,NA,NA,NA,NA,73,92,83,83,72,91,81,86,40,NA,NA,NA,82,94,90,76,71,100,83,67,69,93,77,95,47,69,64,75,78,95,84,100,74,NA,73,73,NA,79,NA,71,29,79
"Bath County Public Schools","Bath County High",87,62,86,88,NA,NA,NA,NA,NA,NA,NA,NA,78,51,80,86,NA,NA,NA,NA,90,52,92,82,NA,NA,NA,NA,83,73,80,94,67,42,58,73,87,61,85,88,73,NA,NA,59,NA,82,NA,61,63,72
"Sussex County Public Schools","Sussex Central High",84,73,72,74,NA,NA,NA,NA,84,70,74,70,81,69,70,72,NA,NA,NA,NA,88,74,74,76,NA,100,71,100,80,72,70,71,33,36,48,29,81,76,64,82,79,NA,79,78,NA,89,NA,72,35,78
"Bath County Public Schools","Millboro Elementary",88,94,93,94,NA,NA,NA,NA,NA,NA,NA,NA,90,100,94,91,NA,NA,NA,NA,93,100,93,100,NA,NA,NA,NA,83,88,93,90,71,86,88,NA,88,94,93,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Surry County Public Schools","Luther P. Jackson Middle",80,83,86,81,NA,NA,NA,NA,79,74,84,72,77,79,84,78,NA,NA,NA,NA,84,83,92,82,100,NA,86,100,76,83,81,80,57,69,67,53,81,100,89,91,68,NA,71,63,NA,78,NA,58,0,68
"Surry County Public Schools","Surry Elementary",66,83,80,NA,NA,NA,NA,NA,53,81,67,NA,54,77,76,NA,NA,NA,NA,NA,77,89,88,NA,NA,NA,NA,NA,59,79,75,NA,35,30,50,NA,79,79,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Surry County Public Schools","Surry County High",89,74,73,83,NA,NA,NA,NA,88,68,71,77,86,67,69,76,NA,NA,NA,NA,90,72,72,81,NA,NA,NA,NA,89,75,75,85,33,40,50,53,92,82,78,94,86,NA,85,85,NA,90,NA,83,17,93
"Stafford County Public Schools","Rockhill Elementary",83,81,88,81,82,NA,91,80,85,67,83,71,70,54,83,78,28,80,72,33,82,76,90,82,76,92,83,76,83,86,86,80,60,73,67,67,85,77,91,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stafford County Public Schools","Widewater Elementary",66,68,76,67,75,86,75,80,69,67,77,69,60,63,70,62,40,NA,50,36,70,66,80,69,62,86,75,58,63,70,72,65,33,18,30,50,67,60,76,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stafford County Public Schools","Shirley C. Heim Middle",74,77,83,79,84,100,92,100,71,70,79,73,66,67,77,67,12,31,35,23,78,76,84,76,63,66,76,64,70,77,81,80,35,55,46,43,85,88,90,95,58,88,54,52,9,62,49,55,19,69
"Stafford County Public Schools","Anthony Burns Elementary",71,73,78,77,68,100,82,67,67,66,72,73,58,63,67,64,30,NA,52,11,78,67,80,76,64,65,79,78,66,78,76,78,26,70,30,13,84,86,84,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stafford County Public Schools","Donald B. Dixon-Lyle R. Smith Middle",79,76,87,82,77,NA,87,67,69,56,79,83,68,66,80,70,33,NA,67,NA,83,75,91,81,70,76,86,68,76,77,84,83,44,48,53,56,84,83,91,86,59,NA,60,48,NA,70,34,49,12,61
"Stafford County Public Schools","Conway Elementary",81,73,84,70,100,NA,100,67,69,52,63,42,67,45,73,56,37,NA,63,0,85,72,83,70,77,75,88,61,77,73,85,71,38,38,52,25,85,80,86,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stafford County Public Schools","Mountain View High ",93,86,85,89,83,96,100,81,82,75,78,82,81,77,80,83,40,59,56,53,94,83,87,89,88,85,86,85,92,89,84,90,67,77,64,70,96,89,86,92,89,83,80,69,20,92,80,87,36,93
"Stafford County Public Schools","Margaret Brent Elementary ",87,88,92,84,85,NA,92,80,66,80,73,60,70,90,90,41,65,NA,90,50,88,81,89,83,80,68,91,80,85,95,95,85,65,83,69,42,91,92,96,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stafford County Public Schools","Kate Waller Barrett Elementary",78,76,86,87,80,NA,87,100,68,60,75,76,69,70,81,82,44,NA,74,83,82,78,86,88,74,91,88,83,73,73,85,86,40,41,47,73,89,84,93,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stafford County Public Schools","Rodney E. Thompson Middle",89,87,93,89,98,89,95,100,81,79,90,81,74,75,84,67,50,NA,78,38,89,86,93,88,84,89,90,88,90,88,92,90,60,50,62,48,93,87,94,91,72,90,52,46,33,83,69,63,25,79
"Stafford County Public Schools","Rocky Run Elementary",74,77,83,75,56,NA,55,NA,66,73,80,63,63,68,69,47,26,60,56,29,78,78,84,77,74,73,87,75,69,76,82,73,45,30,67,29,79,83,87,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stafford County Public Schools","Colonial Forge High",91,86,91,90,87,92,98,92,89,79,89,82,83,73,84,73,18,43,77,52,92,87,94,93,83,82,92,85,90,85,88,87,56,61,79,65,97,91,92,95,87,100,79,73,33,90,80,83,52,92
"Stafford County Public Schools","Winding Creek Elementary",81,93,90,87,96,100,96,100,74,93,86,80,59,84,77,74,27,NA,63,33,83,92,90,90,68,94,79,79,79,94,90,85,48,63,65,55,90,93,98,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stafford County Public Schools","H.H. Poole Middle",81,87,85,72,86,78,91,100,72,82,74,48,68,79,75,60,16,29,54,22,82,88,87,70,75,79,82,68,81,85,83,75,50,66,52,34,88,94,92,83,56,67,35,38,14,64,48,47,19,69
"Stafford County Public Schools","Brooke Point High",87,81,81,84,100,100,90,89,77,72,74,72,79,67,76,73,33,31,65,29,92,78,82,84,83,79,82,83,83,84,79,84,39,52,53,58,95,86,83,90,78,86,68,67,6,84,74,73,21,86
"Stafford County Public Schools","Garrisonville Elementary",73,80,85,84,71,NA,100,NA,64,71,79,80,53,88,76,68,30,NA,60,33,80,83,88,87,58,90,78,75,66,77,82,80,43,64,48,46,82,78,89,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stafford County Public Schools","Andrew G. Wright Middle",82,78,90,85,85,NA,95,80,79,65,83,85,67,64,84,71,24,17,56,40,83,76,91,81,71,62,88,77,81,80,90,89,48,44,68,56,88,89,93,88,71,56,61,58,NA,80,66,63,34,76
"Stafford County Public Schools","Hampton Oaks Elementary",70,78,80,69,91,NA,82,80,66,61,77,68,61,69,71,58,33,NA,56,11,71,80,80,71,62,84,74,60,70,74,80,67,48,50,45,54,84,83,90,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stafford County Public Schools","Park Ridge Elementary",69,76,78,73,90,NA,80,NA,61,66,69,58,67,75,79,67,41,NA,48,20,71,75,76,70,71,82,81,70,68,77,79,75,28,50,36,36,73,78,83,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stafford County Public Schools","North Stafford High",90,83,86,85,88,97,88,90,85,77,85,83,86,76,82,76,41,44,71,41,90,81,88,86,81,77,83,79,91,84,85,84,67,64,72,62,98,91,91,93,81,75,68,75,21,84,79,77,44,89
"Stafford County Public Schools","Falmouth Elementary",73,81,82,75,85,NA,92,NA,63,67,77,67,64,71,78,70,50,80,73,57,73,80,78,70,77,85,78,74,74,82,86,79,39,69,57,37,80,85,86,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stafford County Public Schools","Grafton Village Elementary",76,88,86,82,100,NA,100,NA,56,82,68,60,71,71,69,70,75,NA,63,NA,80,93,87,82,82,100,86,78,72,85,84,82,37,69,50,53,76,86,87,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stafford County Public Schools","Anne E. Moncure Elementary",73,71,83,68,91,NA,70,60,61,70,65,47,69,59,74,60,44,43,61,14,77,72,83,62,69,64,82,71,68,71,84,74,31,45,51,8,76,76,91,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stafford County Public Schools","Hartwood Elementary",74,90,83,73,36,83,50,38,63,86,72,45,58,85,72,58,27,89,41,11,82,90,88,80,78,93,87,76,68,91,80,67,29,57,68,45,82,91,88,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stafford County Public Schools","Ferry Farm Elementary",83,90,92,73,100,NA,100,NA,56,75,76,25,74,87,86,56,50,NA,79,40,87,88,94,73,67,90,86,75,79,91,91,73,63,67,75,57,89,91,96,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stafford County Public Schools","Stafford Senior High",86,77,78,79,65,76,74,59,86,62,66,64,78,63,68,68,15,24,42,19,88,73,79,79,74,73,74,76,85,81,76,78,48,51,53,45,91,82,82,85,83,71,80,69,29,88,66,78,51,87
"Stafford County Public Schools","T. Benton Gayle Middle",78,80,81,74,72,82,90,58,68,62,70,60,62,69,67,52,17,50,45,15,80,81,83,73,73,77,77,72,76,78,79,75,44,51,50,55,84,88,86,82,73,100,65,58,NA,80,70,67,41,76
"Stafford County Public Schools","Stafford Middle",73,67,72,72,88,80,88,87,69,61,65,60,64,63,64,55,18,0,18,9,77,67,75,72,68,62,68,61,70,67,70,71,33,24,30,33,79,74,80,87,59,80,48,41,10,69,43,50,16,77
"Stafford County Public Schools","Stafford Elementary",77,80,83,80,80,50,93,NA,69,81,70,60,61,71,70,70,38,NA,58,29,80,81,84,84,71,75,85,74,74,80,82,76,40,50,55,52,85,84,88,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stafford County Public Schools","Edward E. Drew Jr. Middle",75,63,78,75,55,50,60,20,72,46,71,64,61,52,63,58,10,NA,26,0,79,64,79,75,70,65,78,71,70,61,77,75,47,24,48,54,78,71,83,84,64,NA,62,43,NA,68,56,60,33,72
"Augusta County Public Schools","S. Gordon Stewart Middle",81,89,83,81,83,NA,100,NA,43,57,43,43,72,76,72,63,0,NA,63,NA,82,91,83,80,72,80,76,73,79,87,83,81,35,36,37,27,83,92,85,84,67,NA,57,42,20,71,69,64,8,68
"Spotsylvania County Public Schools","Salem Elementary",70,80,82,83,83,NA,100,NA,60,71,70,79,62,81,75,78,43,82,70,57,79,83,80,84,64,78,78,78,63,77,83,81,34,100,62,50,81,87,91,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spotsylvania County Public Schools","Cedar Forest Elementary",62,63,73,74,67,NA,83,NA,57,39,57,65,49,41,62,65,25,NA,46,27,65,66,73,73,50,65,64,69,60,60,73,75,38,44,31,35,70,69,80,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spotsylvania County Public Schools","Riverbend High ",85,82,84,83,86,78,92,83,80,66,71,58,73,70,74,69,23,23,62,25,88,81,88,84,68,83,85,81,82,84,79,81,41,51,58,49,90,87,87,89,89,83,84,79,NA,93,88,85,67,90
"Spotsylvania County Public Schools","Freedom Middle",83,90,88,81,73,80,91,100,73,82,82,61,73,88,79,67,12,40,53,40,85,91,90,79,79,92,84,78,80,89,86,83,43,55,53,39,89,95,94,89,78,100,63,66,NA,84,75,73,23,83
"Spotsylvania County Public Schools","Parkside Elementary",78,76,83,84,79,71,87,90,73,71,75,73,65,61,72,66,49,38,68,50,78,72,82,80,69,70,75,74,77,79,85,86,58,35,76,78,85,82,92,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spotsylvania County Public Schools","Harrison Road Elementary",61,63,69,73,92,NA,92,100,61,36,61,70,49,61,60,63,21,56,45,30,61,60,71,84,47,67,63,60,61,65,67,63,38,36,39,39,72,76,78,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spotsylvania County Public Schools","Massaponax High",82,76,75,77,78,72,88,82,72,65,68,65,69,63,67,61,7,33,60,35,85,74,75,76,78,72,74,70,78,77,75,77,53,44,52,47,92,84,79,86,89,83,82,80,0,93,91,84,57,92
"Spotsylvania County Public Schools","Ni River Middle",77,83,83,82,94,80,95,100,61,60,69,59,60,70,67,59,NA,NA,0,NA,81,85,88,84,70,90,78,75,73,82,79,79,37,55,50,41,79,86,86,85,71,89,56,47,NA,78,69,65,24,74
"Spotsylvania County Public Schools","Wilderness Elementary",74,87,82,78,83,NA,100,NA,55,64,60,63,60,75,70,70,20,NA,71,NA,80,85,80,80,72,95,87,81,69,90,83,77,38,60,47,20,82,93,87,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spotsylvania County Public Schools","Riverview Elementary",75,87,92,81,NA,NA,NA,NA,79,85,90,82,65,82,90,69,44,NA,89,NA,79,88,95,78,66,75,94,77,70,87,90,84,71,71,89,53,78,92,94,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spotsylvania County Public Schools","Thornburg Middle",70,75,66,72,88,83,81,NA,57,60,45,51,51,55,48,50,11,0,26,NA,76,77,69,74,58,70,62,66,64,72,63,71,36,31,26,41,76,82,74,81,60,NA,47,39,NA,68,67,52,26,63
"Spotsylvania County Public Schools","Courthouse Road Elementary",79,90,85,84,100,NA,100,NA,64,79,76,65,68,80,76,78,57,83,71,NA,83,91,86,84,82,93,88,89,75,90,84,85,44,59,56,45,82,94,87,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spotsylvania County Public Schools","Battlefield Middle",67,71,77,61,82,57,86,83,56,55,65,42,56,59,69,44,3,17,28,10,71,68,80,56,63,74,74,50,64,73,74,65,23,27,34,24,78,83,86,80,56,91,40,41,NA,65,54,48,21,70
"Augusta County Public Schools","Wilson Middle",79,85,81,75,78,NA,89,NA,85,86,75,71,67,77,70,58,40,NA,33,NA,82,85,84,79,59,63,65,38,75,86,78,72,37,31,35,14,81,88,83,81,74,NA,83,57,NA,84,47,66,21,78
"Augusta County Public Schools","Guy K. Stump Elementary",78,89,83,79,NA,NA,NA,NA,50,NA,67,NA,66,76,74,63,NA,NA,NA,NA,79,95,81,86,100,NA,86,NA,77,86,84,76,12,20,29,0,80,88,84,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Augusta County Public Schools","Edward G. Clymore Elementary",71,88,85,83,NA,NA,NA,NA,70,NA,90,NA,58,80,75,72,31,NA,75,NA,74,88,84,83,59,100,82,100,68,89,86,81,23,36,40,36,73,87,85,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spotsylvania County Public Schools","Brock Road Elementary",74,82,88,78,80,NA,100,NA,54,67,69,38,65,71,83,63,57,NA,88,NA,81,86,91,81,67,70,88,75,67,78,84,76,39,53,55,58,78,87,90,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spotsylvania County Public Schools","Chancellor Elementary",86,88,91,91,100,NA,100,NA,61,60,65,NA,82,80,90,84,NA,NA,NA,NA,87,90,93,92,94,NA,94,NA,85,86,90,89,63,63,80,64,89,88,93,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spotsylvania County Public Schools","Smith Station Elementary",80,88,91,78,67,NA,100,NA,68,80,87,63,72,84,88,68,60,80,81,NA,80,80,88,74,80,83,92,76,80,94,94,82,69,69,72,54,86,92,92,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spotsylvania County Public Schools","Chancellor Middle",70,78,76,75,79,100,86,86,59,66,68,64,58,71,67,62,15,13,35,18,77,80,79,72,65,80,73,64,64,76,73,77,37,40,48,49,79,81,80,85,68,100,53,53,NA,75,68,62,48,75
"Spotsylvania County Public Schools","Chancellor High",80,69,69,70,88,88,68,78,69,54,56,51,64,55,59,58,20,14,38,19,84,68,74,69,70,59,63,62,74,69,64,72,39,34,29,39,93,82,82,85,76,100,64,60,7,84,65,68,33,92
"Spotsylvania County Public Schools","Spotsylvania High",86,72,72,78,NA,100,100,90,79,60,72,76,78,61,63,70,NA,25,33,0,90,72,77,78,88,67,77,77,82,72,67,77,48,39,36,40,86,73,70,77,80,NA,77,71,NA,87,88,73,42,78
"Spotsylvania County Public Schools","Spotswood Elementary",64,65,67,61,67,88,83,NA,57,54,55,52,53,58,59,44,25,NA,27,0,68,68,65,61,62,100,62,48,60,61,69,60,27,44,33,21,70,67,77,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spotsylvania County Public Schools","Livingston Elementary",76,86,89,82,NA,NA,NA,NA,58,NA,58,50,69,67,83,69,NA,NA,NA,NA,81,85,88,74,64,NA,93,50,72,86,89,90,35,67,69,55,79,92,90,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spotsylvania County Public Schools","Berkeley Elementary",77,91,84,78,NA,NA,NA,NA,60,NA,80,NA,68,87,78,59,NA,NA,NA,NA,82,92,89,82,100,NA,100,NA,73,91,80,76,47,80,32,44,75,88,82,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spotsylvania County Public Schools","Spotsylvania Middle",75,81,78,80,89,89,93,100,63,70,66,64,59,62,61,63,5,NA,47,29,79,81,81,79,70,69,80,79,72,80,75,80,32,38,40,38,82,88,83,86,70,100,55,54,NA,78,75,62,20,73
"Spotsylvania County Public Schools","Lee Hill Elementary",73,74,79,84,88,NA,100,NA,58,60,66,72,62,63,68,74,35,NA,55,NA,76,78,79,86,68,89,73,83,70,71,80,83,43,50,69,50,83,81,88,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spotsylvania County Public Schools","Post Oak Middle",71,73,76,69,100,NA,100,NA,57,75,67,48,63,65,67,57,0,NA,0,NA,77,72,85,80,56,62,71,60,66,74,68,61,28,39,35,35,75,76,79,73,58,NA,48,49,NA,69,69,51,10,58
"Spotsylvania County Public Schools","Courtland Elementary",78,84,85,83,NA,NA,NA,NA,64,79,72,67,61,72,74,61,31,NA,54,NA,80,81,85,80,67,78,77,79,75,86,85,86,44,53,51,50,86,86,92,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spotsylvania County Public Schools","Courtland High",87,81,78,78,100,94,94,77,71,67,67,67,71,64,70,64,NA,19,50,22,90,81,83,77,84,70,70,61,84,82,73,78,36,49,40,40,93,92,85,89,91,90,84,86,NA,95,85,87,67,94
"Spotsylvania County Public Schools","Robert E. Lee Elementary",74,83,83,80,NA,NA,NA,NA,55,71,80,79,60,73,71,70,NA,NA,NA,NA,79,83,85,76,71,100,81,100,70,83,81,84,59,73,59,50,79,86,87,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spotsylvania County Public Schools","Battlefield Elementary",80,83,89,85,78,NA,89,NA,65,71,75,82,69,72,84,75,44,NA,81,30,82,88,89,90,77,80,91,71,77,79,90,80,37,50,63,38,88,89,95,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Southampton County Public Schools","Riverdale Elementary",80,92,86,87,NA,NA,NA,NA,67,91,78,79,74,91,81,83,NA,NA,NA,NA,84,96,87,88,86,NA,83,NA,75,86,84,86,63,55,57,50,93,94,93,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Southampton County Public Schools","Capron Elementary",79,97,88,87,NA,NA,NA,NA,74,95,83,79,74,96,85,88,NA,NA,NA,NA,76,95,85,81,NA,NA,NA,NA,83,100,91,94,60,83,80,67,86,100,95,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Southampton County Public Schools","Southampton Middle",80,86,81,90,NA,NA,NA,NA,69,73,71,81,73,77,74,82,NA,NA,NA,NA,84,86,85,88,93,100,94,100,76,86,78,91,51,44,49,65,86,93,87,94,79,NA,64,69,NA,82,100,77,43,87
"Southampton County Public Schools","Southampton High",89,74,92,90,NA,NA,NA,NA,82,59,88,84,86,65,90,85,NA,NA,NA,NA,91,73,91,90,83,100,100,100,86,75,93,90,42,49,93,71,93,86,93,95,85,NA,74,80,NA,88,83,81,38,91
"Augusta County Public Schools","Riverheads Elementary",75,82,87,85,NA,NA,100,NA,75,100,88,100,68,63,78,70,NA,NA,NA,NA,75,87,89,88,71,NA,100,NA,75,79,85,84,37,22,37,30,75,82,86,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Augusta County Public Schools","Stuarts Draft High",89,87,93,91,NA,80,NA,83,100,89,92,88,83,81,91,84,NA,NA,NA,NA,88,86,99,91,86,68,100,75,89,87,89,92,67,32,83,67,89,87,93,93,86,NA,NA,83,NA,85,86,86,NA,86
"Southampton County Public Schools","Meherrin Elementary",71,80,76,67,NA,NA,NA,NA,58,70,66,52,62,70,70,55,NA,NA,NA,NA,77,79,74,63,NA,NA,NA,NA,66,80,77,70,39,89,48,60,85,90,85,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Augusta County Public Schools","Wilson Memorial High",87,86,90,87,NA,NA,100,NA,100,83,92,76,75,74,83,78,NA,20,NA,NA,86,83,93,84,85,64,86,73,88,90,86,89,81,62,70,64,86,89,90,89,88,NA,100,75,NA,90,83,87,75,89
"Southampton County Public Schools","Nottoway Elementary",85,98,94,89,NA,NA,NA,NA,83,90,83,67,80,94,89,78,NA,NA,NA,NA,85,97,94,80,NA,NA,NA,NA,85,100,94,100,50,NA,50,NA,87,100,97,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Augusta County Public Schools","Verona Elementary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Smyth County Public Schools","Chilhowie Middle",78,84,94,83,NA,NA,NA,NA,NA,NA,NA,NA,72,75,90,67,NA,NA,NA,NA,83,81,98,83,79,88,100,NA,75,87,91,83,47,54,78,50,78,84,94,83,63,NA,NA,48,NA,72,NA,56,25,62
"Augusta County Public Schools","Riverheads High",84,86,94,88,NA,NA,NA,NA,NA,80,78,71,86,77,90,87,NA,NA,NA,NA,84,84,97,90,NA,NA,NA,NA,84,87,91,86,27,45,53,45,83,86,95,89,86,NA,NA,82,NA,88,NA,84,50,86
"Smyth County Public Schools","Saltville Elementary",80,85,88,82,NA,NA,NA,NA,NA,NA,NA,NA,84,90,89,82,NA,NA,NA,NA,73,81,88,67,NA,NA,NA,NA,88,92,88,95,53,NA,67,67,80,88,89,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Smyth County Public Schools","Chilhowie Elementary",73,78,71,74,NA,NA,NA,NA,57,NA,29,NA,63,69,63,73,NA,NA,NA,NA,75,76,69,80,71,NA,71,NA,70,80,73,69,50,60,45,43,73,78,73,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Smyth County Public Schools","Rich Valley Elementary",88,95,94,92,NA,NA,NA,NA,NA,NA,NA,NA,79,89,88,87,NA,NA,NA,NA,93,100,100,89,NA,NA,NA,NA,85,91,90,94,83,NA,67,NA,87,94,94,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Smyth County Public Schools","Marion Elementary",76,89,85,81,NA,NA,NA,NA,78,NA,100,NA,72,85,85,84,NA,NA,NA,NA,78,95,84,74,NA,NA,NA,NA,74,85,86,87,42,75,63,NA,75,90,84,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Smyth County Public Schools","Marion Senior High",80,61,81,81,NA,NA,NA,NA,NA,33,47,38,67,52,75,76,NA,NA,NA,NA,83,62,85,82,NA,60,83,63,76,58,76,80,64,50,66,50,80,62,83,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
